Word,Description
Tlaksam (n),"in want of, to be in need of, to run out or be out of anything"
Tlaksamna (n),"scarcity, shortage, paucity"
Tlaktlai (adj),"useful, beneficial, serviceable, to be useful, etc."
Tlaktlaina (n),"usefulness, serviceability"
Tlaktlum (v),"to be in favour, to be received with approbation, to be liked"
Tlam (v),"chipped, broken off"
Tlàm (n),a big basket (made of split bamboo or cane)
Tlàmpui (n),a big basket (made of split bamboo or cane)
Tlan (v),"to ransom, to redeem, to buy back, to atone; to run, running"
Tlàn (v),to eat or drink or enjoy in a joyous and festive manner
Tlán (v),"to elope, to run"
Tlang (n),"a lump of anything, a block, a clod"
Tláng (n),"border, edge, rim, brim"
Tlang (adv),"through, from end to end, along the passage of; to go together, to do together, to go in groups, do in groups"
Tlâng (n),"a mountain, a hill"
Tlang dung (n),a range of hills
Tlang hri (n),an epidemic
Tlang hriet (n),known by the public
Tlang pang (n),the hill side
Tlang pung (v),to get together for community work or service
Tlang sin (n),community or public work
Tlang sip (n),"a peak, the summit of a hill, hill top"
Tlang takin (adv),"without any inhibition, clearly"
Tlang tlir (v),to fire (volley of gun) when nearing the village after returning from successful hunting
Tlang ver (n),a tunnel
Tlangban (n),a rail or railing for things to hang things upon (same as ‘tingban)
Tlangkhang (n),the horizontal pole place over ‘thruomkak’
Tlanglakte (n),a young boy
Tlânglawi (n),name of a species of eagle
Tlanglawn (adv),common
Tlângmi (n),hill people literally but meant for ‘tribals’
Tlangnal (n),a variety of edible leafy plant
Tlangnel (adj),"brazen-faced, bold, forward, not shy or bashful, free and easy, etc"
Tlangpui (adv),"in general, in most cases, usually, generally"
Tlangram (n),remote and hill villages (hill land literally)
Tlangsam (n),a village crier whose duty it is to make known the orders of the chief
Tlangsam par (n),the name of wild flower that blooms in late November & early December and is also known as ‘Christmas par’
Tlangsin (n),a public work in which the whole villagers are expected to take part
Tlangsip (n),"a peak, a mountain peak"
Tlangte (n),a Hmar Zote sub clan
Tlangval (n),"a young man, a bachelor, unmarried grownup man"
Tlangvawn (n),a variety of wild tree
Tlangzar (v),release to the public
Tlangzawl (n),a plateau
Tlanhmang (v),"to run away, to escape"
Tlankhal (v),"to run and outstrip, to get ahead"
Tlanlut (v),to run into
Tlanna (n),"atonement, ransom, redemption"
Tlansie (v),run away because of fear
Tlansuok (v),"to run out, to escape"
Tlantu (n),redeemer
Tlanvir (n),a young boy’s toy associated with wind breeze
Tlap (adv),"in all respect, in full, a word to confirm or suffix complete (‘kim tlap’ = complete in all respect)"
Tlar (n),"a row, a line, in a row, in a line"
Tlaran (v),"to be impoverished, to be depleted, to be exhausted (by oneself)"
Tlasam (adj),"in want of, to be in need of, to run out or be out of anything, to lack"
Tlasie (adj),to be emotional and aggrieved
Tlasuol (v),to be born prematurely
Tlat (adv),"firmly, steadfastly, emphatically"
Tlatlum (v),"to be in favour, to be received with approbation, to be liked"
Tlau (n),a Hmar Darngawn sub clan
Tlaw (adj),"fool, not wise"
Tlawm (adj),"cheap, low in price, of small value; little, few"
Tlawm (v),"to be beaten, to fall from power, to lose prestige, to be deposed, to lose power"
Tlawmazawng (adj),"some, part, at least some"
Tlawmngai (adj),"unselfish, self-denying, preserving, etc."
Tlawmngai takin (adv),"perseveringly, patiently"
Tlawmngaina (n),"unselfishness, self-sacrifice, self-denial, perseverance; an untranslatable term binding all to be hospitable, kind, unselfish and helpful to others: a moral force which finds expression in the self-sacrifice for the service of others"
Tlawmte (n),a sub clan under Hmar Lawitlang Hrangchal
Tlawmte (adj),"little (quantity), few"
Tlawmte te’n (adv),"gradually, little by little"
Tlawngawl (v),"to be at leisure, to be free, to have nothing to do"
Tlawram lam (n),name of one of the eight dances performed during Sikpui festival (adults)
Tle (adj),"polished, shine, shining"
Tlei (adj),"not in want or need (a baby), happy and to be good"
Tleirawl (n),"teenager, adolescent or the time of life between childhood and puberty"
Tleng (v),to move or turn around violently
Tleng fai (v),"to clean, to wash, to rinse (with water)"
Tlengtle (n),the name of an iridescent beetle
Tleu (v),"slip, glide, slide"
Tliek (v),"to be broken, snapped"
Tliem (n),the flat polished bar in a Hmar loom for ramming home the wool after each passage of the shuttle
Tlim (adv),"an expression of gathering of large peoples, insects or animals, collective appearance of big number of crops or plants"
Tlin (v),"to be competent, to be capable of, to have the strength, to be able to"
Tlin (n),a slice or piece of meat
Tling (v),"to collect (as water in a pool), to accumulate"
Tling (v),"to reach, to reach to, to amount to, to succeed, to be elected"
Tling lo (v),"to fail sort of, not qualified, not elected"
Tlingtla (v),"to complete, to fulfil, to finish"
Tlinna (n),"competence, capability, ability"
Tlip (n),a horsefly
Tlip mawi (v),to repeat and make it perfect or satisfying
Tlir (v),"to beat rapidly (as drum), to fire from a gun uninterrupted for a while"
Tlo (v),"durable, to be durable, to be lasting"
Tlok (v),"to search extensively, to seek out for thoroughly"
Tlok tlok (adv),"to go, to undertake, to bear (with great pain and suffering)"
Tlol (adj),"decay, perish"
Tlol (v),"to miss fire (as a gun), a gun firing attempt that fails to burst"
Tlon (v),"to pacify, to appease and seek favour, etc"
Tlor (adj),"greasy, glossy, sleek, to be greasy, etc"
Tlu (v),"to fall down (not from a height), to be settled"
Tluk (adj),"equal to, equivalent, on par with, to be settled"
Tlukte (n),a Hmar Vangsie sub clan
Tlulût (v),to totally or fully submit oneself to someone else
Tlum (v),"to sink, to go in (water)"
Tlum (adj),the youngest (nau mitlum = youngest son)
Tlumpui (n),"the large civet cat, termite"
Tlumte thlira thlîr (adv),to eagerly and hopefully wait for something
Tlumther (n),the lesser civet cat
Tlun (n),a woman forcing herself into the house of a man to be his wife
Tlun (adj),"straight, to be straight"
Tlung (v),"to arrive at, to reach, to come, to happen"
Tlungkhip (n),a variety of wild tree
Tlungpum (n),the main horizontal bar or log that runs across the breath at the base of the roof of a Hmar traditional village house
Tlungrêng (n),the queen of ‘leithra’ or a species of white ant
Tlungte (n),a sub clan under Hmar Lawitlang Hrangchal
Tlungurh (n),a Hmar Biete sub clan
Tlungzam (n),"the cover of the ridge of the roof of a Hmar traditional thatch and split bamboo roof, the ridging in modern CGI sheet roofing"
Tluok (adv),and expression of a very sticky particles (chirhak inhnak tluok = a very sticky mud)
Tluon (adj),"whole length, straight and long bar or rope, etc (mafu tluon = a bar of sugarcane; thir tluon = a full-length iron bar; kekor tluon = long pant)"
Tluon suok (adv),"from beginning to end, till the end"
Tluong (adj),"smooth, to be smooth; prosper, successful, satisfactory; to have a safe and sound journey"
Tluonghrui (n),the main thread or rounded wire or chain of a rotating machine
Tluongrel (n),"bamboos going crosswise under the floor in a Hmar house, immediately above the kaldung"
Tluongtakin (adv),"successfully, safely"
To (adj),"quiet, silent, to be quiet; to stop, to pause; expensive, dear, costly"
Toel (n),towel
Toktar (n),"bait, to put a bait, to bait"
Toktawngang (n),a variety of caterpillar
Tol (n),the rectum
Tol tla (n),"a pile disorder, to have piles, piles"
Tolkuo (n),the rectum
Tollawt (n),name of a species of bird
Tollopuon (n),the name of a young woman's cloth
Tolparit (n),slide (where) children play
Tom (v),"to shrink, to crouch, to be crumpled, to be drawn together, to be contracted, to be shrunken (as the finger, arm or leg)"
Tombasisaw (n),a young women’s hair plait
Tomkal (n),a hand weaving material
Tomkuol (n),a traditional Hmar woman’s hairpin
Ton (v),to wear (on the hair or head)
Tong (v),"to meet, to come face to face"
Tong (v),a measurement from the tip of the middle finger to the opposite elbow with arms extended
Tong khong (adv),expression of ultimate situation
Tonhriet (n),"experience, by experience, after coming across"
Tonlairang (n),a Hmar traditional headgear reserved only for warriors (it is a must to clip a feather of Cuckoo in the headgear)
Tonsil (n),tonsil
Tontaw (adj),"exceedingly, extremely, abundantly"
Tontir (adj),"the gateway, entrance, etc"
Top (adv),a suffix to denote ‘not’ or anything in the negative
Top nawh (adv),"not at all, in no way, under no circumstances"
Torkawnawng (adj),"slow, not agile, not active"
Tra (n),term for a woman to refer to all her brothers and male cousins or relatives
Tra (v),"mourn, lament, a melancholic cry for the deaths"
Traite (n),a Hmar Thiek sub clan
Traizel (n),the name of a small bar in a Hmar woman’s handloom over which the thread passes and by which certain threads of the warp are raised when necessary
Trak (n),truck (vehicle)
Trak trak (adv),"an action that come in small scale (rain drops, etc)"
Tralim (n),name of a variety of ‘zawngtra’
Trâm (n),"famine, hunger, starve, to starve"
Trâm tla (v),occurrence of famine
Tram tla (v),occurrence of famine
Tramatrek (n),a variety of wild tree
Trâmhnem (adj),"to eat something to ward of hunger, to appease one’s hunger"
Tramkawr (n),the name of a species of mustard
Trampui (n),a species of mustard
Trâmpui (n),"a severe famine, a great famine"
Tramsawl (v),"tired out for want of food, feeling the pangs of hunger"
Tramthu (n),a fermented mustard leaf
Tran (v),"to commence, to start, to begin"
Tran (v),"to side with, to choose"
Tran bik nei (v),to be biased
Tran thra (adj),"strong, healthy (physique)"
Trang (adj),dry
Trang (n),a poetical word for the chest or bosom
Trang dang bel/pom (v),to be on the bosom of another man or woman
Tranghma siel (v),"to work, plan or scheme for the good or benefit of oneself"
Trangkai (adj),useful
Trangkai lo (adj),"useless, worthless"
Trangkaina (n),"advantage, usefulness, benefit"
Trangkaina nei (v),"to be of use, to be useful"
Trangkaina nei lo (v),"to be of no use, to be useless"
Trangkaipui (n),"to make use of, to reap benefit"
Trangnem (n),poetical term for the soft chest or bosom of a woman
Trangphel (n),a measurement from the tip of the middle finger to the breast-bone with the arm extended
Trangse (n),chicken pox
Trangthre (v),to be separated from one’s wife or husband
Trangtriel (n),the name of a large edible spider that has a strong web
Transfar (v),"transfer, shifted out from one place to another"
Trantu (n),a Bible verse reader in a Hmar church program
Trap (v),"to cry, to weep"
Trap rawl (adj),"cries of fear, anguished voice"
Trap suok (v),to feel like crying
Trapder (n),to easily shed tears
Traphla (n),lamentation
Traphla insam (v),"to chant a dirge, requiem or lament"
Trapna (n),lamentation
Trapngai (n),the name of an owl
Trâu (n),a bad evil spirit believes to sit on branches of trees in groups under the sun but roam around with torches in the night. A Hmar phrase ‘trau meiser sit’ originated from this tale and has some similarity with ‘will-o-the-wisp’ folktale
Trawk (adv),"with difficulty, hardly, just only"
Trawk trawk (adv),"with great difficulty, with great personal cause or sacrifice"
Trawl (adj),"dry, to be dry, etc"
Trawm (adj),"uneven, not smooth (cloth), which needs smoothening or ironing (cloth)"
Trawm (v),to join with somebody
Trawmkailo (n),unworthy (person)
Trawng (adj),"weak, feeble, not strong"
Trawp (adj),"wet, drenched, soaked to the skin"
Tre (v),"leakage, spilled out (from container)"
Trei (n),a species of rice
Trei sanghar (n),a species of rice
Treite (n),a species of rice
Trek (n),"a thunderbolt, a meteorite"
Trek (v),"to emit sparks, to throw out sparks"
Treklei (n),"brick (used in house, etc construction)"
Trekral (n),the name of a species of mantis (insect)
Tren (n),"a bare precipice, a very steep and bare hillside"
Tren khur (n),trench
Trenbaram (n),a steep and bare precipice
Treng (adj),extreme heat
Trentuikhawthla (n),waterfall
Trep (adj),"almost, on the point of"
Trep trep (adv),"double of ‘trep’; nearly, almost, on the verge of"
Trepah (adv),"on the point of, on the brink of, just about to"
Treu (adv),"in large numbers, in large quantities"
Tri (n),"afraid, scare, fear"
Tribaium (n),"scary, fearsome, dangerous"
Triek (adj),"torn, to be torn, ruined"
Triek (v),"to come to an end, to finish (a meeting or gathering)"
Triel (n),"the thread of a screw, a screw"
Triel (adj),"spotted, striped, of various colours, tattooed, spotted, etc"
